Layer,Role,Daily Tasks
Tech Provider,Platform Admin,"Monitor license usage, onboard new users, assign roles"
Tech Provider,Compliance Manager,"Review compliance logs (GST, KYC, Escrow), resolve red flags"
Tech Provider,API Integration Specialist,"Manage API connectivity (Banks, Logistics, Payments, GSTN)"
Tech Provider,AWS Governance Lead,"Audit IAM roles, CloudTrail logs, enforce AWS compliance policies"
Tech Provider,Tech Support,"Resolve tech issues, support onboarding, track escalation logs"
Buying House,"Procurement Manager (VJRIPL, KKCL)","Raise POs, manage vendor contacts, track procurement status"
Buying House,"Finance Controller (VJRIPL, KKCL)","Approve invoices, track escrow payment releases, update finance dashboard"
Buying House,Production Manager (Scotts),"Monitor WIP stages, ensure material issuance, track MES production flow"
Buying House,QC Manager (Scotts),"Conduct QC checks, log compliance, submit audit reports"
Buying House,Finance Controller (Scotts),"Generate purchase invoices, coordinate payment processing via escrow"
Buying House,Logistics Coordinator,"Coordinate dispatch schedules, liaise with logistics partners"
Marketplace,Retailer Onboarding Manager,"Onboard retailers, assign retailer licenses, verify KYC"
Marketplace,Sales Manager (Retailers),"Manage inventory allocation, track retail sales, update OMS"
Marketplace,Warehouse Manager,"Confirm warehouse bin assignment, manage stock movements"
Marketplace,Logistics Coordinator,"Generate delivery challans, oversee last-mile logistics"
Marketplace,Customer Support,"Handle customer inquiries, manage returns/exchanges, monitor engagement"
Marketplace,Retail Finance Controller,"Track retail payment splits, reconcile payments, monitor retailer financial dashboard"
